고객사 이름,고객사 사업보고서,고객사 주요 브랜딩 제품,고객사 주요 니즈
"롬앤(rom&nd)","2026년 롬앤은 'Z세대 감성 색조'라는 브랜드 정체성을 강화하며, 동남아(인도네시아·베트남)와 미주 온라인 채널 진출을 핵심 사업방향으로 삼고 있습니다. 립 제품 중심에서 베이스·아이 메이크업으로 카테고리를 확장하고, 숏폼 콘텐츠와 인플루언서 협업 마케팅에 집중할 계획입니다.","쥬시 래스팅 틴트, 글래스팅 워터 틴트, 베러댄 아이브로우","글로벌 시장 현지화 마케팅 전략, 숏폼 콘텐츠 기획 파트너, 신제품 색조 라인 ODM 개발"
"클리오(CLIO)","클리오는 2026년 온라인 자사몰과 올리브영 중심의 옴니채널 전략을 강화하고, 일본·동남아 시장에서의 색조 브랜드 인지도 확대를 목표로 하고 있습니다. 헤리티지 제품군의 리뉴얼과 함께 신규 서브 브랜드 론칭을 검토 중입니다.","킬커버 파운웨어 파운데이션, 프로 아이팔레트, 트윙클 팝 틴트","일본 시장 진출 전략 컨설팅, 헤리티지 제품 리뉴얼 디자인, 팝업스토어 기획"
"구달(Goodal)","구달은 '청귤'과 '녹두'를 중심으로 한 저자극 스킨케어 포지셔닝을 유지하면서, 2026년에는 미국·유럽 등 서구권 시장 진출을 새로운 성장축으로 설정했습니다. 아마존 및 자사 D2C 채널 강화를 통해 브랜드 자립도를 높이는 것이 핵심 과제입니다.","청귤 비타C 세럼, 녹두 약산성 클렌징폼, 콜라겐 스틱 파운데이션","미국 아마존 채널 운영 전략, D2C 자사몰 리텐션 마케팅, 저자극 스킨케어 신제품 개발"
"이니스프리(Innisfree)","이니스프리는 아모레퍼시픽 그룹 내 '클린 뷰티' 대표 브랜드로서, 리브랜딩 이후 제주 원료 기반 지속가능성 스토리텔링을 강화하고 있습니다. 2026년에는 리필 스테이션 확대와 함께 북미·동남아 시장에서의 재도약을 목표로 합니다.","그린티 씨드 세럼, 블랙티 유스 에센스, 노세범 미네랄 파우더","리필형 패키지 디자인 및 생산, 지속가능성 캠페인 콘텐츠, 북미 시장 재진입 전략"
"티르티르(TIRTIR)","티르티르는 '마스크 핏 레드 쿠션'의 글로벌 히트에 힘입어 2026년 미국·유럽 시장 내 색조 베이스 카테고리 리더십 확보를 사업방향으로 설정했습니다. 다양한 피부 톤을 아우르는 '30 쉐이드' 전략을 다른 제품군까지 확장할 계획입니다.","마스크 핏 레드 쿠션, 마스크 핏 올데이 팩트, 뷔니 톤업 선크림","다인종 쉐이드 확장 R&D, 미국 리테일 입점 전략, 인플루언서 UGC 콘텐츠 마케팅"
"라운드랩(Round Lab)","라운드랩은 '자작나무'와 '독도' 라인을 중심으로 더마 코스메틱 포지셔닝을 이어가며, 2026년에는 일본·동남아 시장 내 올리브영 유사 채널 입점을 확대할 계획입니다. 민감성 피부 전용 저자극 포뮬러 강화가 핵심 R&D 방향입니다.","자작나무 수분크림, 독도 토너, 자작나무 모이스처라이징 선크림","일본 채널 입점 및 유통 전략, 민감성 피부 임상 데이터 확보, 브랜드 스토리 콘텐츠 기획"
"페리페라(Peripera)","페리페라는 MZ세대를 겨냥한 트렌디 색조 브랜드로, 2026년에는 틱톡·릴스 중심의 챌린지 마케팅과 함께 동남아 진출을 가속화할 방침입니다. 저가형 색조 라인의 품질 고급화를 통해 브랜드 리포지셔닝을 진행 중입니다.","잉크 벨벳 틴트, 카밍 워터 선 스틱, 오일 스텐 립글로스","숏폼 챌린지 캠페인 기획, 동남아 인플루언서 네트워크, 색조 라인 품질 고급화 ODM"
"아누아(Anua)","아누아는 '어성초'를 중심으로 한 진정 스킨케어로 미국·일본 시장에서 빠르게 성장하고 있으며, 2026년에는 틱톡숍과 아마존을 축으로 한 D2C 글로벌 확장을 최우선 사업방향으로 삼고 있습니다.","어성초 77 토너, 하이드로 부스팅 스킨 배리어 크림, PDRN 마인 세럼","틱톡숍 운영 및 라이브커머스 전략, 미국 아마존 광고 최적화, 신규 진정 스킨케어 라인 개발"
"달바(d'Alba)","달바는 '화이트 트러플' 원료 기반의 프리미엄 스킨케어 브랜드로, 2026년에는 홈쇼핑·역직구 채널을 넘어 유럽 럭셔리 리테일 입점을 신규 사업방향으로 검토하고 있습니다.","화이트 트러플 퍼스트 스프레이 세럼, 트러플 아이크림, 콜라겐 딥 세럼","유럽 럭셔리 리테일 입점 전략, 프리미엄 브랜드 패키지 리뉴얼, 역직구 채널 최적화"
"브링그린(Bring Green)","브링그린은 비건·친환경 인증을 앞세운 스킨케어 브랜드로, 2026년에는 올리브영 온라인 강화와 함께 유럽 비건 뷰티 시장으로의 진출을 사업방향으로 설정했습니다.","쑤기 클렌징 오일, 어성초 클리어 패드, 비건 슈크림 핸드크림","비건 인증 관련 컨설팅, 유럽 시장 진출 파트너, 친환경 패키지 개발"
